x,won,lost,n_gold,final_cycle
20,1,0,0,12140
20,1,0,0,12114
20,1,0,0,12134
20,1,0,0,12125
20,1,0,0,9690
20,1,0,0,9697
20,1,0,0,9691
20,1,0,0,9691
20,1,0,0,7631
20,1,0,0,7617
20,1,0,0,7634
20,1,0,0,7623
20,1,0,0,4566
20,1,0,0,4544
20,1,0,0,4552
20,1,0,0,4544
20,1,0,0,3822
20,1,0,0,3824
20,1,0,0,3833
20,1,0,0,3824
25,1,0,0,29571
25,1,0,0,29558
25,1,0,0,29570
25,1,0,0,29546
25,1,0,0,27608
25,1,0,0,27602
25,1,0,0,27195
25,1,0,0,27628
25,1,0,0,20541
25,1,0,0,20567
25,1,0,0,20560
25,1,0,0,20584
25,1,0,0,16166
25,0,0,1,16125
25,0,0,2,15907
25,1,0,0,16170
25,1,0,0,6004
25,1,0,0,5995
25,1,0,0,5996
25,1,0,0,5993
30,1,0,0,35676
30,1,0,0,35679
30,1,0,0,35664
30,1,0,0,35644
30,1,0,0,32908
30,1,0,0,32960
30,0,0,1,32851
30,1,0,0,32925
30,1,0,0,22919
30,1,0,0,22912
30,1,0,0,22906
30,1,0,0,22896
30,1,0,0,19308
30,1,0,0,19303
30,1,0,0,19311
30,1,0,0,19312
30,1,0,0,9292
30,1,0,0,9287
30,1,0,0,9302
30,1,0,0,9294
35,1,0,0,41354
35,1,0,0,41392
35,1,0,0,41348
35,1,0,0,41382
35,1,0,0,37544
35,1,0,0,37496
35,1,0,0,37513
35,1,0,0,37520
35,1,0,0,28101
35,1,0,0,28092
35,1,0,0,28131
35,1,0,0,28140
35,1,0,0,19984
35,1,0,0,19965
35,1,0,0,19972
35,1,0,0,20015
35,1,0,0,10004
35,1,0,0,10001
35,1,0,0,10020
35,0,0,1,10001
40,1,0,0,48621
40,1,0,0,48658
40,1,0,0,48744
40,1,0,0,48616
40,1,0,0,38618
40,1,0,0,38630
40,1,0,0,38620
40,1,0,0,38620
40,1,0,0,28627
40,1,0,0,28630
40,1,0,0,28621
40,1,0,0,28628
40,1,0,0,19130
40,1,0,0,19148
40,1,0,0,19142
40,1,0,0,19135
40,0,0,1,10005
40,0,0,1,10001
40,1,0,0,10003
40,1,0,0,10019
45,1,0,0,46146
45,1,0,0,46215
45,1,0,0,46481
45,1,0,0,46236
45,1,0,0,36653
45,1,0,0,36556
45,1,0,0,36590
45,1,0,0,36597
45,1,0,0,27128
45,1,0,0,27129
45,1,0,0,27116
45,1,0,0,27125
45,1,0,0,17136
45,1,0,0,17131
45,1,0,0,17150
45,1,0,0,17131
45,1,0,0,10009
45,1,0,0,10002
45,0,0,1,10001
45,1,0,0,9996
50,1,0,0,48203
50,1,0,0,48220
50,1,0,0,48341
50,1,0,0,48293
50,1,0,0,38260
50,1,0,0,38336
50,1,0,0,38182
50,1,0,0,38344
50,1,0,0,28170
50,1,0,0,28186
50,1,0,0,28199
50,1,0,0,28349
50,1,0,0,19962
50,1,0,0,20059
50,1,0,0,20036
50,1,0,0,20083
50,1,0,0,9970
50,1,0,0,9946
50,0,0,1,10001
50,1,0,0,10022
